58.300948	0.004332	-1.283153	-0.864059	
58.400913	0.027062	-1.221029	-0.846929	
58.499980	0.012878	-1.163897	-0.824973	
58.600565	0.009997	-1.109980	-0.802900	
58.700087	0.042074	-1.108904	-0.804329	
58.800313	0.032971	-1.079816	-0.799298	
58.901091	0.039266	-1.057542	-0.817832	
59.001114	0.039838	-1.041281	-0.826367	
59.100438	0.021970	-1.013010	-0.855640	
59.200875	0.028599	-0.965743	-0.863903	
59.300325	0.051403	-1.000304	-0.877328	
59.400283	0.036942	-0.968844	-0.903320	
59.500836	0.040686	-0.996551	-0.935005	
59.600854	0.057258	-0.953187	-0.941401	
59.700797	0.056503	-0.939948	-0.939159	
59.800970	0.063822	-0.965692	-0.916515	
59.900816	0.057175	-0.958162	-0.880384	
60.000800	0.030979	-0.949906	-0.825640	
60.100485	0.040156	-0.990759	-0.785073	
60.200875	0.041574	-1.014962	-0.742404	
60.300229	0.051591	-1.012608	-0.692472	
60.401116	0.047236	-0.982161	-0.659582	
60.501122	0.039861	-0.944791	-0.644109	
60.600334	0.047971	-0.956075	-0.628871	
60.700275	0.048343	-0.942871	-0.609352	
60.800339	0.035430	-0.999303	-0.594567	
60.900100	0.040103	-1.031278	-0.595606	
61.000717	0.024534	-1.064822	-0.596722	
61.100312	0.024862	-1.062069	-0.604751	
61.200294	0.036100	-1.123399	-0.632961	
